Filename                                   Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
doom-game/src/weapon_fire.rs                  1629                39    97.61%          97                 0   100.00%         962                24    97.51%           0                 0         -
doom-game/src/weapons.rs                      1341                53    96.05%          71                 1    98.59%         827                37    95.53%           0                 0         -
doom-map/src/analyzer.rs                       404                 4    99.01%          10                 0   100.00%         173                 3    98.27%           0                 0         -
doom-map/src/ascii.rs                          207                 4    98.07%           5                 0   100.00%         159                 2    98.74%           0                 0         -
doom-map/src/bsp.rs                            403                24    94.04%          26                 0   100.00%         264                20    92.42%           0                 0         -
doom-map/src/geojson.rs                         90                 0   100.00%           3                 0   100.00%         107                 0   100.00%           0                 0         -
doom-map/src/graph.rs                          195                10    94.87%           5                 0   100.00%         177                 8    95.48%           0                 0         -
doom-map/src/html.rs                           129                 2    98.45%           3                 0   100.00%          92                 1    98.91%           0                 0         -
doom-map/src/json.rs                            77                 0   100.00%           3                 0   100.00%          51                 0   100.00%           0                 0         -
doom-map/src/level.rs                         1232               117    90.50%          46                19    58.70%         798               130    83.71%           0                 0         -
doom-map/src/lumps.rs                          410                35    91.46%          35                 3    91.43%         265                26    90.19%           0                 0         -
doom-map/src/obj.rs                            145                24    83.45%           3                 0   100.00%         104                14    86.54%           0                 0         -
doom-map/src/svg.rs                            142                 3    97.89%           3                 0   100.00%         150                 4    97.33%           0                 0         -
doom-map/src/udmf.rs                          1004               220    78.09%          53                 7    86.79%         679               155    77.17%           0                 0         -
doom-net/src/checksum.rs                        57                 0   100.00%           9                 0   100.00%          40                 0   100.00%           0                 0         -
doom-net/src/client.rs                         318                11    96.54%          19                 1    94.74%         173                 2    98.84%           0                 0         -
doom-net/src/input_log.rs                      215                 3    98.60%          18                 1    94.44%         125                 3    97.60%           0                 0         -
doom-net/src/packet.rs                         269                 4    98.51%          15                 0   100.00%         151                 0   100.00%           0                 0         -
doom-net/src/rollback.rs                       373                 4    98.93%          30                 0   100.00%         217                 1    99.54%           0                 0         -
